Date,Count
2021-10-15,70.0
2021-10-16,140.0
2021-10-17,90.0
2021-10-18,931.0
2021-10-19,330.0
2021-10-20,393.0
2021-10-21,160.0
2021-10-22,430.0
2021-10-23,130.0
2021-10-24,100.0
2021-10-25,170.0
2021-10-26,496.0
2021-10-27,210.0
2021-10-28,130.0
2021-10-29,980.0
2021-10-30,160.0
2021-10-31,340.0
2021-11-01,540.0
2021-11-02,310.0
2021-11-03,210.0
2021-11-04,360.0
2021-11-05,70.0
2021-11-06,220.0
2021-11-07,170.0
2021-11-08,400.0
2021-11-09,450.0
2021-11-10,320.0
2021-11-11,390.0
2021-11-12,410.0
2021-11-13,70.0
